Rank	Taxon	Count
genus	53244	2
genus	53246	28
genus	53318	1
genus	53328	1
genus	53335	8
genus	53355	1
genus	53357	3
genus	53370	1
genus	53387	1
genus	53452	1
genus	53457	3
genus	53460	2
genus	53572	1
genus	53634	4
genus	53945	3
genus	54066	1
genus	54247	1
genus	54251	1
genus	54253	1
genus	54258	2
genus	54260	1
genus	54293	1
genus	54298	1
genus	54304	3
genus	55079	11
genus	55080	24
genus	55506	1
genus	55968	8
genus	56106	1
genus	56112	1
genus	56433	1
genus	56635	3
genus	56688	10
genus	57039	1
genus	57479	1
genus	57488	2
genus	57493	9
genus	57494	4
genus	57495	2
genus	57499	1
genus	57665	8
genus	57739	1
genus	58050	2
genus	58113	3
genus	58122	1
genus	58842	1
genus	59195	3
genus	59282	1
genus	59613	1
genus	59732	33
genus	59734	1
genus	59735	1
genus	59738	1
genus	59739	2
genus	59740	1
genus	59753	6
genus	60136	9
genus	60846	2
genus	60892	2
genus	60919	1
genus	61170	3
genus	61434	30
genus	61593	1
genus	61653	2
genus	62100	1
genus	62608	1
genus	63132	4
genus	63742	3
genus	63743	2
genus	63958	1
genus	64001	2
genus	64159	3
genus	64322	1
genus	64895	25
genus	64968	3
genus	65047	1
genus	65402	1
genus	65496	1
genus	65502	1
genus	65551	6
genus	66831	4
genus	66848	3
genus	67572	6
genus	67575	7
genus	68287	12
genus	68288	3
genus	68335	3
genus	68903	1
genus	69278	1
genus	69474	9
genus	69578	1
genus	69894	1
genus	69959	1
genus	69965	1
genus	70411	2
genus	70992	1
genus	70994	4
genus	71151	1
genus	71655	1
genus	71666	2
genus	72173	2
genus	72763	1
genus	73029	2
genus	73778	1
genus	73918	2
genus	74030	5
genus	74317	1
genus	74385	5
genus	74968	1
genus	75309	4
genus	75654	1
genus	75683	1
genus	75687	5
genus	75905	3
genus	75984	1
genus	76008	1
genus	76023	1
genus	76632	1
genus	76634	1
genus	76831	18
genus	76833	6
genus	76886	3
genus	76890	5
genus	77021	6
genus	78119	1
genus	79206	8
genus	79328	12
genus	79603	2
genus	80865	1
genus	81411	1
genus	81416	2
genus	81461	2
genus	81463	1
genus	81466	3
genus	81682	1
genus	81894	1
genus	82202	1
genus	82373	2
genus	82800	1
genus	82802	5
genus	82976	1
genus	82978	1
genus	82980	1
genus	82982	1
genus	82984	2
genus	82986	1
genus	83400	1
genus	83461	1
genus	83551	2
genus	83612	4
genus	83614	5
genus	83618	6
genus	83654	1
genus	83677	1
genus	83681	3
genus	83764	1
genus	83766	1
genus	83768	1
genus	83770	4
genus	83867	2
genus	84034	1
genus	84108	3
genus	84111	5
genus	84162	2
genus	84404	4
genus	84406	5
genus	84565	2
genus	84567	31
genus	84593	1
genus	84646	1
genus	84756	1
genus	85043	2
genus	85072	1
genus	85076	1
genus	85079	2
genus	85108	1
genus	85265	1
genus	85274	1
genus	85413	8
genus	86331	1
genus	86795	3
genus	87171	1
genus	88138	3
genus	88358	1
genus	88723	3
genus	89092	1
genus	89404	7
genus	89523	1
genus	89583	1
genus	89958	1
genus	89966	8
genus	90243	4
genus	90372	1
genus	91914	2
genus	92244	4
genus	92793	2
genus	92944	1
genus	93171	2
genus	93217	1
genus	93368	1
genus	93681	1
genus	93682	3
genus	94008	1
genus	96492	1
genus	97050	5
genus	98443	3
genus	99479	5
genus	99906	1
genus	100715	1
genus	100883	3
genus	101191	1
genus	102106	8
genus	102115	1
genus	102231	2
genus	102234	3
genus	104175	1
genus	104204	1
genus	104264	4
genus	104267	4
genus	105850	5
genus	106146	1
genus	106589	4
genus	106591	3
genus	106633	11
genus	109168	1
genus	109262	2
genus	109326	1
genus	110932	9
genus	110934	1
genus	111142	2
genus	111500	6
genus	111782	3
genus	112008	1
genus	112040	2
genus	112902	1
genus	112987	1
genus	113286	1
genus	114248	1
genus	114627	4
genus	115543	1
genus	115780	1
genus	117156	1
genus	117563	2
genus	117999	1
genus	118004	1
genus	118747	1
genus	119044	1
genus	119541	1
genus	119977	18
genus	119979	1
genus	120652	1
genus	120831	4
genus	120961	2
genus	121038	2
genus	121820	1
genus	121871	2
genus	122277	1
genus	123375	2
genus	124224	1
genus	125216	3
genus	125287	1
genus	129001	1
genus	129337	7
genus	129577	1
genus	129957	2
genus	131079	1
genus	132605	3
genus	132607	1
genus	133193	1
genus	133925	10
genus	134550	1
genus	134813	3
genus	135575	15
genus	135858	2
genus	136099	5
genus	136491	1
genus	137583	1
genus	140458	2
genus	140625	1
genus	141948	1
genus	142577	1
genus	142587	1
genus	143222	1
genus	144193	1
genus	145260	4
genus	146784	5
genus	146785	2
genus	146813	1
genus	146825	2
genus	146918	1
genus	146935	1
genus	146936	1
genus	146937	1
genus	147067	1
genus	149698	8
genus	150022	1
genus	150059	1
genus	150203	2
genus	150247	2
genus	150333	1
genus	150830	1
genus	151038	1
genus	151754	1
genus	152053	1
genus	152161	1
genus	152180	4
genus	153027	1
genus	153232	3
genus	153265	2
genus	153497	1
genus	154346	1
genus	155493	10
genus	155862	3
genus	155977	2
genus	156454	1
genus	156885	1
genus	156973	5
genus	156993	1
genus	157226	3
genus	157591	1
genus	157920	1
genus	158481	2
genus	158483	1
genus	158846	2
genus	158848	1
genus	158851	1
genus	158876	1
genus	159191	1
genus	159345	1
genus	159730	1
genus	160674	1
genus	160795	1
genus	160798	2
genus	160800	2
genus	161492	2
genus	162027	1
genus	162171	1
genus	162289	13
genus	162291	1
genus	162491	1
genus	162985	1
genus	164450	14
genus	165301	2
genus	165695	13
genus	165696	17
genus	165697	10
genus	165779	8
genus	165812	1
genus	166484	1
genus	166953	2
genus	166974	1
genus	167375	2
genus	167639	1
genus	168470	1
genus	168657	1
genus	168694	2
genus	168808	1
genus	168934	4
genus	169133	1
genus	171003	2
genus	171163	1
genus	171412	1
genus	171413	1
genus	171436	1
genus	171673	1
genus	171868	1
genus	173479	3
genus	174708	1
genus	174951	2
genus	175304	2
genus	177399	2
genus	177971	1
genus	178440	1
genus	178469	6
genus	180162	1
genus	180541	2
genus	181069	1
genus	182269	2
genus	182402	1
genus	182623	5
genus	182639	2
genus	182709	6
genus	182899	2
genus	184869	4
genus	184923	2
genus	186188	1
genus	186191	1
genus	186475	1
genus	186650	4
genus	186831	1
genus	187144	2
genus	187492	1
genus	188143	2
genus	188905	5
genus	188907	1
genus	189330	5
genus	190323	1
genus	190818	2
genus	190972	1
genus	191028	3
genus	191291	1
genus	191301	1
genus	191303	4
genus	191373	1
genus	191494	2
genus	191767	1
genus	191769	1
genus	192987	1
genus	192992	1
