,Taxonomic_Rank,Taxon,Reference_Count,Distance_to_closest,Precision,Recall,F1,Method
243,species,1224,2975,0.0,0.9998527921612194,0.8151487419830556,0.898097593724357,Kraken-II (4Gb)
244,superkingdom,1224,2975,0.0,0.9999999998171144,0.8201808989724779,0.9012031643141281,Kraken-II (4Gb)
245,class,1239,1948,0.0718104,0.9875790942259444,0.12662069378064922,0.22446033309018865,Kraken-II (4Gb)
246,family,1239,1948,0.0718104,0.950529193779844,0.12064723549521558,0.21411533296710017,Kraken-II (4Gb)
247,genus,1239,1948,0.0718104,0.9502321693651242,0.12046974292133168,0.21382824613306373,Kraken-II (4Gb)
248,order,1239,1948,0.0718104,0.959188486719523,0.12261576271126554,0.21743405200081597,Kraken-II (4Gb)
249,phylum,1239,1948,0.0718104,0.9924286534741659,0.12792408634456562,0.2266329006592827,Kraken-II (4Gb)
250,species,1239,1948,0.0718104,0.0,0.0,0.0,Kraken-II (4Gb)
251,superkingdom,1239,1948,0.0718104,0.9997697962709833,0.1302932573118888,0.23053954415635872,Kraken-II (4Gb)
252,class,1239,1948,0.0,0.9046511522714983,0.011684313282017824,0.023070398384508136,Kraken-II (4Gb)
253,family,1239,1948,0.0,0.8962264045256321,0.011415010737407439,0.02254264987367061,Kraken-II (4Gb)
254,genus,1239,1948,0.0,0.7819548774191118,0.009384446481677102,0.018546079402845417,Kraken-II (4Gb)
